location,osmid
测绘学院(信息学部4号教学楼),1204185558
当代楼,1842395417
电气与自动化学院高压楼,4320485471
电气与自动化学院自动化楼,4320485415
动力与机械学院,4159413722
枫园10舍,1196701860
枫园11舍,1199744364
枫园12舍,1196701983
枫园13舍,1199744357
枫园14舍,3151899811
枫园1舍,1199744364
枫园2舍,1196701983
枫园3舍,1196701945
枫园4舍,3631666729
枫园5舍,1196701950
枫园6舍,1196701939
枫园7舍,1196701860
枫园8舍,1196701860
枫园9舍,3631666729
枫园教学楼,1196701860
枫园食堂,3631666729
工学部10舍,3842095840
工学部11舍,3842095842
工学部12舍,3842095840
工学部15舍,4052778628
工学部16舍,4052778620
工学部17舍,4052778638
工学部1舍,3842096758
工学部1食堂,3842096761
工学部2舍,1196701859
工学部2食堂,3842096760
工学部3舍,3842096757
工学部3食堂,3842096760
工学部4教,4159413654
工学部4舍,4052778643
工学部4食堂,3842096761
工学部5教,4159413675
工学部5舍,1196701859
工学部6舍,9681727739
工学部7舍,3842095848
工学部8舍,3842096771
工学部9舍,3842095840
工学部第一教学楼(工学部1教),4159413674
工学部清真食堂,3842096761
桂园八舍,3631666815
桂园二舍,4052353063
桂园九舍,4052353065
桂园六舍,4052353063
桂园七舍,4052353065
桂园三舍,8278622920
桂园食堂,1807209565
桂园四舍,4052353065
桂园五舍,3631666815
桂园一舍,4052353062
国软C7,9552100021
湖滨八舍,1196701873
湖滨二舍,4052778594
湖滨九舍,3631666748
湖滨六舍,9591350632
湖滨七舍,9591350628
湖滨三舍,1199796387
湖滨十二舍,3631666749
湖滨十三舍,3631666750
湖滨十舍,3631666750
湖滨十四舍,9591350621
湖滨十五舍,1196701873
湖滨十一舍,3631666748
湖滨食堂,4052778594
湖滨四舍,1199796387
湖滨五舍,1199819102
湖滨一舍,1199819279
湖滨澡堂,3631666749
计算机学院教,3977329417
老斋舍,3631666849
理学楼,1807168486
留学生宿舍,1199740887
梅园二舍,1196672324
梅园六舍,1199722376
梅园三舍,1196701894
梅园食堂,1199722376
梅园四舍,1199722376
梅园五舍,1199722376
梅园一舍,1196701930
水利水电学院实验教学楼(水工实验楼),4159413654
田园食堂,1663919036
文理学部第二教学楼(教二楼),1199831135
文理学部第六教学楼(教六楼),1199831232
文理学部第三教学楼(教三楼),3631666814
文理学部第四教学楼(教四楼),3113067143
文理学部第五教学楼(教五楼),1379619942
文理学部第一教学楼(教一楼),1197846084
五洲餐厅,1199840542
武汉大学图书馆工学分馆,4159413667
武汉大学图书馆信息科学分馆,3631666777
武汉大学图书馆总馆,3631666680
武汉大学校史馆历史文献整理室,3631666849
信息学部第二教学楼（信息学部2号教学楼）,1204185558
信息学部第一教学楼（信息学部1号教学楼）,3631666788
信息学部二食堂,3631666774
信息学部三食堂,3123587154
信息学部四食堂,1369722859
信息学部学生宿舍10栋,3147241023
信息学部学生宿舍11栋,3123587154
信息学部学生宿舍12栋,3123587154
信息学部学生宿舍13栋,3123587171
信息学部学生宿舍14栋,3123587171
信息学部学生宿舍15栋,1199840474
信息学部学生宿舍16栋,1199840474
信息学部学生宿舍17栋,3123587174
信息学部学生宿舍18栋,9552099936
信息学部学生宿舍19栋(国软C3),1199840501
信息学部学生宿舍20栋(国软C4),1199840562
信息学部学生宿舍2栋,3631666774
信息学部学生宿舍3栋,3631666775
信息学部学生宿舍4栋,3123587170
信息学部学生宿舍5栋,9552092065
信息学部学生宿舍6栋,3631666774
信息学部学生宿舍7栋,5223114811
信息学部学生宿舍8栋,6305194065
信息学部学生宿舍9栋,5223097959
信息学部一食堂,3123587174
星湖园食堂,2134381638
遥感信息工程学院(信息学部5号教学楼),1201323300
印刷包装系(信息学部3号教学楼),1205470750
资源与环境科学学院大楼(信息学部7号教学楼),1144979602
